Código,Producto,Equipo,Equipación,Año,Talla,Tipo Dorsal,Dorsal Personalizado,Parches,Tipo Manga/Gorra,Descripción,Cantidad,Almacen/Ubicación,Costo,P. Venta,Proveedor,Cliente,Teléfono,Fecha Registro,Nota
"YOLO-MAD7WR","camiseta de fútbol","REAL MADRID","Visitante","2024","M","nombre y Número","BELLINGHAM #5","CHAMPIONS","Manga corta","NARANJA","1","F3","11","30","","","","25/03/2026 4:32 PM","REAL MADRID NARANJA 24/25 VISITANTE - Talla M - BELLINGHAM #5 - CHAMPIONS"
"YOLO-65GD2N","camiseta de fútbol","REAL MADRID","Visitante","2024","XL","nombre y Número","MBAPPE #9","CHAMPIONS","Manga corta","NARANJA","1","F3","11","30","","","","25/03/2026 4:32 PM","REAL MADRID NARANJA 24/25 VISITANTE - Talla XL - MBAPPE #9 - CHAMPIONS"
"YOLO-95HLH5","camiseta de fútbol","REAL MADRID","Visitante","2024","M","nombre y Número","MBAPPE #9","CHAMPIONS","Manga corta","","1","F3","11","35","","","","25/03/2026 4:32 PM","REAL MADRID VISITANTE 25/26 - Talla M- MBAPPE #10"
"YOLO-S5O7SX","camiseta de fútbol","REAL MADRID","Visitante","2025","M","nombre y Número","VALVERDE 8","CHAMPIONS","Manga corta","","1","F3","11","35","","","","25/03/2026 4:32 PM","REAL MADRID VISITANTE 25/26 - Talla M- VALVERDE 8  - CHAMPIONS"
"YOLO-2R6ZPK","camiseta de fútbol","REAL MADRID","Visitante","2025","S","nombre y Número","VALVERDE 8","CHAMPIONS","Manga corta","","1","F3","11","35","","","","25/03/2026 4:32 PM","REAL MADRID VISITANTE 25/26 - Talla S- VALVERDE 8  - CHAMPIONS"
"YOLO-705OTU","camiseta de fútbol","REAL SOCIEDAD","2da equipacion visitante","2024","M","nombre y Número","ARAMBURU #19","LA LIGA","Manga corta","REAL SOCIEDAD VISITANTE DORADA, - Talla M- ARAMBURU #19 - LA LIGA","1","F2","","30","","","","25/03/2026 4:32 PM",""
"YOLO-0VQDDL","camiseta de fútbol","VENEZUELA","Visitante","2024","L","nombre y Número","RONDON #23","SIN PARCHES","Manga corta","BLANCA GUACAMAYA","1","F2","11","30","","","","25/03/2026 4:32 PM","VENEZUELA Blanca 24/25 VISITANTE - Talla L- RONDON #23 - SIN PARCHES"
"YOLO-H0NWFL","camiseta de fútbol","VENEZUELA","Visitante","2024","L","nombre y Número","SOTELDO #10","SIN PARCHES","Manga corta","BLANCA GUACAMAYA","1","F2","11","30","","","","25/03/2026 4:32 PM","VENEZUELA Blanca 24/25 VISITANTE - Talla L- SOTELDO #10- SIN PARCHES"
"YOLO-H4Z7G5","camiseta de fútbol","VENEZUELA","Visitante","2024","M","nombre y Número","SOTELDO #10","SIN PARCHES","Manga corta","BLANCA GUACAMAYA","1","F2","11","30","","","","25/03/2026 4:32 PM","VENEZUELA Blanca 24/25 VISITANTE - Talla M - SOTELDO #10 - SIN PARCHES "
"YOLO-31R7EW","camiseta de fútbol","VENEZUELA","Visitante","2024","M","nombre y Número","RONDON #23","SIN PARCHES","Manga corta","BLANCA GUACAMAYA ","1","F2","11","30","","","","25/03/2026 4:32 PM","VENEZUELA Blanca 24/25 VISITANTE - Talla M- RONDON #23 - SIN PARCHES"
"YOLO-L4Y6I3","camiseta de fútbol","BRASIL","Local","2026","L","nombre y Número","NEYMAR JR #10","","Manga corta","MUNDIAL 2026","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-HIH7R1","camiseta de fútbol","BRASIL","Local","2026","M","nombre y Número","RAPHINA #11","","Manga corta","MUNDIAL 2026","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-8N6NRP","camiseta de fútbol","ARGENITA","Local","2026","S","nombre y Número","MESSI #10","","Manga corta","MUNDIAL 2026","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-H841JN","camiseta de fútbol","ARGENITA","Local","2026","M","nombre y Número","MESSI #10","","Manga corta","MUNDIAL 2026","2","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-44MWIC","camiseta de fútbol","ARGENITA","Local","2026","L","nombre y Número","MESSI #10","","Manga corta","MUNDIAL 2026","2","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
